time_betw_scan_hours,CA,YM,2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,40/25 mM glu/lac lav O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2,50 mM Mannose,35 mM Glycolsyre,2 mM PAM,Class
0.355,0.920,0.420,0.250,0.430,0.766,0.837,0.299,0.111,0.816,0.260,0.841,0.595,1.000
0.410,0.920,0.840,0.255,0.570,0.823,0.870,0.155,0.172,0.785,0.556,0.795,0.514,1.000
0.202,0.638,0.420,0.283,0.486,0.859,0.876,0.283,0.111,0.734,0.154,0.902,0.676,1.000
0.239,0.920,0.420,0.292,0.542,0.816,0.895,0.392,0.035,0.847,0.841,0.864,0.568,1.000
0.268,0.273,0.840,0.259,0.561,0.898,0.918,0.234,0.116,0.751,0.347,0.758,0.568,1.000
0.083,0.920,0.840,0.241,0.505,0.819,0.838,0.189,0.106,0.725,0.440,0.667,0.662,1.000
0.050,0.920,0.420,0.231,0.393,0.809,0.853,0.299,0.131,0.774,0.346,0.629,0.541,1.000
0.062,0.920,0.840,0.288,0.514,0.829,0.830,0.248,0.172,0.690,0.691,0.538,0.581,1.000
0.159,0.920,0.420,0.269,0.495,0.765,0.830,0.292,0.136,0.804,0.376,0.826,0.608,1.000
0.078,0.503,0.505,0.236,0.346,0.810,0.807,0.396,0.131,0.676,0.530,0.432,0.419,1.000
0.074,0.920,0.260,0.241,0.467,0.845,0.883,0.298,0.040,0.772,0.744,0.773,0.500,1.000
0.145,0.644,0.840,0.255,0.458,0.768,0.819,0.198,0.096,0.777,0.595,0.909,0.730,1.000
