time_betw_scan_hours,CA,YM,Class,dea_eff,cluster efficency - 5 clusters
978.000,2.493,6.295,1.000,0.550,1.000
1485.000,2.700,6.664,1.000,0.510,1.000
1312.000,2.822,6.708,1.000,0.370,4.000
129.000,2.597,7.225,1.000,0.590,3.000
4060.000,2.492,5.728,1.000,0.380,4.000
1342.000,2.326,5.978,1.000,0.510,1.000
602.000,2.395,6.289,1.000,0.630,3.000
1474.000,2.692,6.334,1.000,0.430,4.000
2311.000,2.451,5.568,1.000,0.440,4.000
1307.000,2.534,6.324,1.000,0.580,3.000
1932.000,2.411,5.282,1.000,0.440,4.000
1783.000,2.682,6.664,1.000,0.460,1.000
1879.000,2.660,6.187,1.000,0.580,3.000
5252.000,2.450,5.388,1.000,0.590,3.000
81.000,2.770,6.450,1.000,0.430,4.000
1475.000,2.972,5.710,1.000,0.400,4.000
1344.000,2.850,5.927,1.000,0.510,1.000
1277.000,2.679,6.377,1.000,0.630,3.000
18565.000,2.651,5.790,1.000,0.510,1.000
29.000,2.619,6.447,1.000,0.590,3.000
4116.000,2.520,6.284,1.000,0.400,4.000
3256.000,2.681,6.194,1.000,0.500,1.000
1291.000,2.551,6.621,1.000,0.620,3.000
2667.000,3.082,6.856,1.000,0.570,3.000
166.000,2.581,6.206,1.000,0.480,1.000
583.000,2.437,6.686,1.000,0.390,4.000
856.000,2.673,6.476,1.000,0.420,4.000
2726.000,2.768,6.050,1.000,0.520,1.000
1855.000,2.419,6.867,1.000,0.540,1.000
1321.000,2.703,5.899,1.000,0.490,1.000
4146.000,2.673,5.966,1.000,0.470,1.000
1088.000,2.668,6.592,1.000,0.480,1.000
1589.000,2.562,6.227,1.000,0.620,3.000
9037.000,2.764,6.424,1.000,0.570,3.000
151.000,2.440,6.408,1.000,0.510,1.000
1277.000,2.438,6.275,1.000,0.530,1.000
1538.000,2.505,6.451,1.000,0.520,1.000
2525.000,2.505,6.292,1.000,0.560,3.000
1666.000,2.455,6.248,1.000,0.490,1.000
1303.000,2.774,6.183,1.000,0.510,1.000
2381.000,2.478,6.261,1.000,0.560,3.000
1751.000,2.823,6.404,1.000,0.560,3.000
2536.000,2.596,5.912,1.000,0.580,3.000
5513.000,2.380,6.219,1.000,0.420,4.000
1398.000,2.549,5.715,1.000,0.450,1.000
964.000,2.640,5.717,1.000,0.410,4.000
621.000,2.541,6.008,1.000,0.460,1.000
3560.000,2.553,6.502,1.000,0.610,3.000
1361.000,2.613,6.281,1.000,0.400,4.000
927.000,2.795,6.280,1.000,0.510,1.000
1543.000,2.420,5.469,1.000,0.570,3.000
1536.000,2.550,6.334,1.000,0.600,3.000
1163.000,2.682,5.941,1.000,0.550,1.000
552.000,2.378,6.107,1.000,0.520,1.000
1247.000,2.363,6.941,1.000,0.330,4.000
82.000,2.908,6.078,1.000,0.550,1.000
5932.000,2.570,6.053,1.000,0.540,1.000
1208.000,2.625,6.079,1.000,0.300,4.000
1215.000,2.606,7.295,1.000,0.530,1.000
3925.000,2.687,5.946,1.000,0.270,4.000
3743.000,2.348,6.335,1.000,0.610,3.000
1269.000,2.672,5.979,1.000,0.560,3.000
2646.000,2.650,5.454,1.000,0.550,1.000
1459.000,2.492,6.936,1.000,0.610,3.000
1184.000,2.553,6.449,1.000,0.590,3.000
2379.000,2.825,5.740,1.000,0.370,4.000
1905.000,2.540,5.691,1.000,0.600,3.000
5913.000,2.490,6.542,1.000,0.680,2.000
3010.000,2.691,6.180,1.000,0.590,3.000
891.000,2.277,6.439,1.000,0.610,3.000
2902.000,2.781,6.520,1.000,0.490,1.000
1456.000,2.543,5.614,1.000,0.570,3.000
3190.000,2.706,6.587,1.000,0.630,3.000
1994.000,2.540,5.776,1.000,0.500,1.000
1507.000,2.570,5.521,1.000,0.410,4.000
1963.000,2.770,7.004,1.000,0.470,1.000
3861.000,2.680,6.443,1.000,0.500,1.000
2752.000,2.436,6.386,1.000,0.360,4.000
1423.000,2.581,6.207,1.000,0.550,1.000
2973.000,2.710,5.287,1.000,0.520,1.000
2613.000,2.509,6.463,1.000,0.510,1.000
2661.000,2.388,6.194,1.000,0.460,1.000
1684.000,2.638,6.664,1.000,0.580,3.000
1326.000,2.083,6.998,1.000,0.530,1.000
1394.000,2.572,6.001,1.000,0.490,1.000
15523.000,2.341,5.594,1.000,0.520,1.000
1472.000,2.370,5.812,1.000,0.430,4.000
2396.000,2.510,6.175,1.000,0.620,3.000
2443.000,2.816,5.786,1.000,0.560,3.000
1821.000,2.668,6.266,1.000,0.370,4.000
2767.000,2.450,6.062,1.000,0.590,3.000
1690.000,2.624,6.481,1.000,0.240,4.000
1608.000,2.385,5.869,1.000,0.580,3.000
2926.000,2.905,6.560,1.000,0.630,3.000
2381.000,2.481,6.327,1.000,0.390,4.000
1380.000,2.443,6.098,1.000,0.560,3.000
4403.000,2.605,6.352,1.000,0.620,3.000
4824.000,2.339,6.671,1.000,0.540,1.000
4644.000,2.610,6.955,1.000,0.550,1.000
12792.000,2.476,6.692,1.000,0.420,4.000
1587.000,2.729,5.748,1.000,0.520,1.000
2008.000,2.633,6.833,1.000,0.610,3.000
1497.000,2.550,6.194,1.000,0.400,4.000
2428.000,2.650,6.113,1.000,0.440,4.000
1644.000,2.619,6.333,1.000,0.330,4.000
1379.000,2.707,6.784,1.000,0.510,1.000
612.000,2.628,7.102,1.000,0.680,2.000
1163.000,2.640,6.581,1.000,0.510,1.000
2556.000,2.431,5.549,1.000,0.620,3.000
1413.000,2.790,5.543,1.000,0.630,3.000
1784.000,2.222,5.648,1.000,0.560,3.000
1269.000,2.835,6.732,1.000,0.600,3.000
1705.000,2.488,6.041,1.000,0.530,1.000
4628.000,2.540,6.020,1.000,0.640,3.000
1603.000,2.705,6.103,1.000,0.380,4.000
1538.000,2.701,5.871,1.000,0.570,3.000
5760.000,2.580,6.692,1.000,0.680,2.000
4933.000,2.702,6.740,1.000,0.490,1.000
1688.000,2.397,6.504,1.000,0.580,3.000
9643.000,2.509,6.539,1.000,0.490,1.000
1915.000,2.402,6.080,1.000,0.580,3.000
2684.000,2.623,6.174,1.000,0.580,3.000
1514.000,2.610,5.541,1.000,0.610,3.000
1257.000,2.704,6.097,1.000,0.580,3.000
868.000,2.734,6.734,1.000,0.570,3.000
2771.000,2.796,6.187,1.000,0.510,1.000
1259.000,2.578,6.131,1.000,0.590,3.000
2553.000,2.203,6.740,1.000,0.490,1.000
4575.000,2.633,6.013,1.000,0.490,1.000
1529.000,2.595,6.733,1.000,0.660,2.000
2830.000,2.639,6.283,1.000,0.600,3.000
4179.000,2.318,6.477,1.000,0.540,1.000
4249.000,2.599,6.509,1.000,0.560,3.000
2341.000,2.720,6.308,1.000,0.490,1.000
8166.000,2.731,6.862,1.000,0.480,1.000
1052.000,2.460,5.971,1.000,0.570,3.000
2728.000,2.681,6.152,1.000,0.450,1.000
2519.000,2.475,6.030,1.000,0.490,1.000
5484.000,2.644,6.125,1.000,0.490,1.000
1618.000,2.520,6.534,1.000,0.600,3.000
3494.000,2.600,5.661,1.000,0.630,3.000
1765.000,2.314,6.317,1.000,0.610,3.000
8735.000,2.630,5.831,1.000,0.570,3.000
560.000,2.584,6.331,1.000,0.540,1.000
686.000,2.502,7.035,1.000,0.570,3.000
1551.000,2.556,6.204,1.000,0.420,4.000
978.000,2.705,6.801,1.000,0.700,2.000
226.000,2.838,6.234,1.000,0.570,3.000
1005.000,2.650,6.114,1.000,0.280,4.000
1832.000,2.499,6.648,1.000,0.430,4.000
1207.000,2.346,6.207,1.000,0.660,2.000
7205.000,2.349,6.531,1.000,0.620,3.000
2759.000,2.517,6.134,1.000,0.610,3.000
3123.000,2.433,5.848,1.000,0.440,4.000
2555.000,2.800,6.052,1.000,0.680,2.000
1451.000,2.660,6.051,1.000,0.370,4.000
1536.000,2.402,5.832,1.000,0.570,3.000
524.000,2.581,6.485,1.000,0.540,1.000
2375.000,2.681,6.759,1.000,0.560,3.000
1202.000,2.992,6.186,1.000,0.510,1.000
20146.000,2.535,6.252,1.000,0.550,1.000
1599.000,2.490,5.588,1.000,0.490,1.000
5729.000,2.272,7.033,1.000,0.710,2.000
5656.000,2.569,6.388,1.000,0.680,2.000
178.000,2.570,6.600,1.000,0.440,4.000
3295.000,2.584,6.493,1.000,0.560,3.000
182.000,2.736,7.010,1.000,0.590,3.000
1623.000,2.507,6.202,1.000,0.600,3.000
1903.000,2.737,6.772,1.000,0.550,1.000
1644.000,2.700,6.484,1.000,0.480,1.000
4062.000,2.492,6.107,1.000,0.360,4.000
1624.000,2.690,5.876,1.000,0.410,4.000
2358.000,2.680,6.634,1.000,0.600,3.000
1387.000,2.864,6.793,1.000,0.580,3.000
1267.000,2.580,6.296,1.000,0.510,1.000
830.000,2.959,6.633,1.000,0.480,1.000
1451.000,2.514,6.189,1.000,0.570,3.000
4611.000,2.719,5.957,1.000,0.500,1.000
2487.000,2.397,6.119,1.000,0.640,3.000
233.000,2.867,6.221,1.000,0.700,2.000
1709.000,2.640,6.178,1.000,0.670,2.000
127.000,2.520,5.826,1.000,0.510,1.000
780.000,2.664,5.987,1.000,0.640,3.000
10363.000,2.566,6.218,1.000,0.400,4.000
3291.000,2.484,5.830,1.000,0.600,3.000
2542.000,2.720,6.364,1.000,0.600,3.000
1428.000,2.622,5.994,1.000,0.330,4.000
2563.000,2.532,6.031,1.000,0.370,4.000
1154.000,2.539,6.703,1.000,0.580,3.000
2015.000,2.564,5.830,1.000,0.510,1.000
2667.000,2.611,6.167,1.000,0.630,3.000
226.000,2.697,6.258,1.000,0.620,3.000
364.000,2.720,6.753,1.000,0.580,3.000
1813.000,2.734,6.330,1.000,0.560,3.000
1322.000,2.765,5.824,1.000,0.540,1.000
1692.000,2.647,6.377,1.000,0.560,3.000
82.000,2.731,5.819,1.000,0.560,3.000
2092.000,2.518,5.763,1.000,0.280,4.000
1556.000,2.550,6.455,1.000,0.680,2.000
872.000,2.619,6.712,1.000,0.510,1.000
1294.000,2.694,6.398,1.000,0.470,1.000
1672.000,2.536,5.997,1.000,0.540,1.000
1039.000,2.548,6.228,1.000,0.510,1.000
341.000,2.693,6.661,1.000,0.640,3.000
1274.000,2.374,6.904,1.000,0.580,3.000
1069.000,2.540,6.322,1.000,0.540,1.000
1095.000,2.656,5.813,1.000,0.630,3.000
35.000,2.692,6.122,1.000,0.560,3.000
3423.000,2.401,6.875,1.000,0.590,3.000
1674.000,2.544,6.430,1.000,0.580,3.000
4457.000,2.462,6.054,1.000,0.550,1.000
1336.000,2.740,6.837,1.000,0.540,1.000
1432.000,2.751,6.056,1.000,0.350,4.000
326.000,2.424,6.795,1.000,0.510,1.000
1472.000,2.618,6.469,1.000,0.540,1.000
3227.000,2.351,6.005,1.000,0.560,3.000
1711.000,2.683,6.449,1.000,0.490,1.000
2737.000,2.573,6.461,1.000,0.560,3.000
1236.000,2.901,6.590,1.000,0.610,3.000
1246.000,2.708,5.953,1.000,0.550,1.000
3380.000,2.940,6.665,1.000,0.560,3.000
2938.000,2.605,5.933,1.000,0.600,3.000
1022.000,2.620,6.715,1.000,0.610,3.000
201.000,2.868,6.675,1.000,0.580,3.000
4368.000,2.701,6.430,1.000,0.530,1.000
1411.000,2.537,6.547,1.000,0.510,1.000
1496.000,2.617,6.860,1.000,0.550,1.000
9098.000,2.321,6.155,1.000,0.340,4.000
1434.000,2.721,7.068,1.000,0.370,4.000
1292.000,2.724,6.465,1.000,0.530,1.000
1380.000,2.812,6.413,1.000,0.420,4.000
1539.000,2.636,6.544,1.000,0.300,4.000
15859.000,2.343,6.373,1.000,0.580,3.000
40.000,2.711,6.524,1.000,0.300,4.000
2665.000,2.772,6.122,1.000,0.560,3.000
1405.000,2.606,5.495,1.000,0.490,1.000
1895.000,2.552,6.692,1.000,0.600,3.000
3113.000,2.695,6.089,1.000,0.550,1.000
1430.000,2.680,6.245,1.000,0.570,3.000
2912.000,2.732,6.303,1.000,0.370,4.000
1285.000,2.471,6.510,1.000,0.540,1.000
