time_betw_scan_hours,CA,YM,2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,40/25 mM glu/lac lav O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2,50 mM Mannose,35 mM Glycolsyre,2 mM PAM
2712.000,3.000,7.000,1.940,10.800,40.870,40.230,388.000,5.000,-0.640,12.680,-0.280,-0.050
4248.000,3.000,6.000,2.050,11.100,40.410,39.850,409.000,5.900,-0.560,12.030,-0.220,-0.030
1194.000,3.000,6.000,1.940,11.300,40.750,39.890,418.000,5.300,-0.860,12.400,-0.100,-0.020
7379.000,2.000,6.000,2.050,10.900,40.080,39.610,346.000,4.700,-0.470,11.470,-0.050,0.030
4144.000,2.000,7.000,1.960,11.700,40.590,39.500,665.000,7.500,-1.090,8.690,-0.560,-0.130
2717.000,3.000,7.000,2.010,10.500,40.060,39.320,323.000,8.100,-0.740,12.050,-0.310,0.010
3145.000,2.000,6.000,2.090,9.200,37.910,36.470,543.000,7.600,-1.440,11.920,-0.210,-0.060
1636.000,3.000,7.000,1.830,10.700,40.950,39.710,585.000,8.000,-1.240,12.820,-0.340,-0.090
4003.000,2.000,7.139,1.910,11.000,40.720,40.290,258.000,10.100,-0.430,12.000,-0.270,-0.100
3083.000,3.000,6.000,2.000,10.000,40.430,39.030,469.000,8.000,-1.400,12.610,-0.030,-0.010
3265.000,2.705,6.000,2.030,10.300,41.470,40.810,491.000,5.200,-0.660,11.000,-0.330,-0.110
1405.000,2.450,6.000,2.010,9.700,40.290,38.780,491.000,7.200,-1.510,13.590,-0.010,0.040
7317.000,2.399,6.000,2.030,10.200,41.430,40.360,559.000,4.600,-1.070,14.980,-0.110,0.010
3001.000,3.000,6.000,1.870,11.000,40.620,40.160,348.000,7.700,-0.460,9.730,-0.260,-0.030
2085.000,2.000,6.000,1.920,10.200,38.140,37.590,530.000,6.200,-0.550,11.250,-0.220,-0.050
1494.000,2.000,6.000,1.960,11.500,40.950,39.770,505.000,6.300,-1.180,13.580,-0.510,-0.230
1621.000,3.000,6.000,2.010,10.700,41.350,40.030,498.000,7.900,-1.320,10.650,-0.290,-0.150
3973.000,3.000,7.000,1.860,12.200,40.810,39.890,254.000,7.200,-0.920,11.820,-0.260,-0.020
1325.000,2.000,6.000,2.010,12.200,40.560,37.950,410.000,6.800,-2.610,12.390,-0.180,-0.080
924.000,3.000,6.000,2.020,10.200,41.480,40.490,581.000,5.500,-0.990,10.530,-0.040,-0.010
1428.000,3.000,6.000,2.090,9.600,37.470,36.020,613.000,6.200,-1.450,10.140,-0.190,-0.050
1401.000,2.000,6.000,2.060,9.200,40.590,37.510,894.000,6.100,-3.080,12.000,-0.360,-0.070
1557.000,3.000,6.000,2.010,10.700,41.400,40.730,591.000,4.900,-0.670,12.070,-0.120,-0.010
1378.000,3.000,7.000,2.020,12.400,40.400,39.790,416.000,6.200,-0.610,9.860,-0.430,-0.050
1606.000,3.000,6.000,2.050,9.100,38.560,35.310,606.000,8.300,-3.250,13.370,-0.100,-0.060
552.000,3.000,6.000,1.980,12.600,41.150,40.480,425.000,5.400,-0.670,8.570,-0.130,-0.030
1277.000,3.000,6.000,2.030,11.400,41.460,40.950,524.000,5.200,-0.510,10.070,-0.380,-0.110
2996.000,2.473,6.000,2.060,12.300,41.770,40.560,552.000,6.100,-1.210,11.010,-0.050,0.000
1206.000,2.000,7.000,2.000,11.400,40.730,40.670,361.000,4.900,-0.060,12.500,-0.150,-0.030
1427.000,3.000,6.000,1.950,10.900,40.740,39.920,348.000,7.800,-0.820,14.050,-0.460,-0.200
24.000,2.551,6.000,2.100,10.000,37.880,35.460,627.000,9.100,-2.420,10.720,0.000,0.020
1528.000,2.648,7.000,1.960,11.700,41.130,40.400,358.000,6.400,-0.730,13.990,-0.180,-0.090
1415.000,2.000,7.000,2.030,12.500,41.100,40.370,277.000,8.000,-0.730,11.910,-0.440,-0.180
